ensembl_gene,module
ENSG00000175084,M12
ENSG00000211895,M14
ENSG00000211592,M14
ENSG00000163017,M1
ENSG00000162896,M6
ENSG00000186081,M22
ENSG00000211890,M14
ENSG00000234638,M12
ENSG00000115386,M23
ENSG00000272398,M6
ENSG00000211677,M14
ENSG00000136872,M21
ENSG00000092054,M18
ENSG00000211896,M14
ENSG00000171401,M22
ENSG00000163435,M6
ENSG00000197249,M13
ENSG00000104879,M18
ENSG00000211899,M14
ENSG00000275896,M23
ENSG00000171346,M22
ENSG00000143632,M18
ENSG00000163631,M13
ENSG00000171345,M6
ENSG00000198125,M18
ENSG00000132465,M14
ENSG00000186847,M22
ENSG00000211679,M14
ENSG00000133392,M1
ENSG00000039068,M6
ENSG00000130176,M1
ENSG00000184012,M6
ENSG00000128591,M12
ENSG00000254709,M14
ENSG00000101210,M18
ENSG00000204983,M23
ENSG00000124253,M13
ENSG00000211675,M14
ENSG00000137699,M22
ENSG00000205420,M22
ENSG00000211893,M14
ENSG00000257017,M13
ENSG00000052344,M6
ENSG00000135480,M6
ENSG00000169347,M23
ENSG00000102837,M23
ENSG00000115884,M6
ENSG00000100604,M9
ENSG00000189143,M6
ENSG00000090382,M14
ENSG00000091704,M23
ENSG00000170323,M25
ENSG00000153002,M23
ENSG00000196091,M18
ENSG00000111245,M18
ENSG00000243955,M21
ENSG00000077522,M18
ENSG00000229732,M22
ENSG00000130294,M9
ENSG00000089199,M9
ENSG00000118137,M13
ENSG00000116299,M6
ENSG00000081277,M22
ENSG00000197893,M18
ENSG00000172179,M9
ENSG00000168928,M23
ENSG00000138207,M25
ENSG00000128422,M22
ENSG00000239951,M14
ENSG00000142789,M23
ENSG00000140519,M22
ENSG00000089356,M6
ENSG00000134240,M21
ENSG00000170421,M6
ENSG00000164266,M23
ENSG00000170477,M22
ENSG00000211897,M14
ENSG00000172023,M23
ENSG00000249007,M6
ENSG00000159166,M6
ENSG00000163209,M22
ENSG00000189058,M1
ENSG00000175535,M23
ENSG00000114854,M18
ENSG00000115112,M6
ENSG00000147676,M6
ENSG00000170835,M23
ENSG00000119888,M6
ENSG00000111319,M6
ENSG00000173641,M12
ENSG00000012223,M14
ENSG00000106541,M6
ENSG00000257764,M14
ENSG00000096696,M6
ENSG00000018625,M12
ENSG00000259384,M9
ENSG00000162069,M6
ENSG00000166145,M6
ENSG00000171560,M13
ENSG00000197616,M18
ENSG00000131746,M22
ENSG00000168925,M23
ENSG00000135373,M6
ENSG00000181092,M25
ENSG00000198523,M12
ENSG00000167588,M25
ENSG00000086548,M6
ENSG00000111341,M1
ENSG00000064205,M1
ENSG00000074410,M6
ENSG00000211666,M14
ENSG00000164309,M18
ENSG00000171557,M13
ENSG00000184363,M6
ENSG00000137392,M23
ENSG00000167165,M21
ENSG00000243466,M14
ENSG00000158516,M23
ENSG00000132698,M6
ENSG00000135218,M25
ENSG00000189001,M22
ENSG00000229314,M13
ENSG00000111057,M6
ENSG00000065361,M6
ENSG00000175445,M25
ENSG00000104413,M6
ENSG00000241635,M21
ENSG00000219073,M23
ENSG00000041982,M1
ENSG00000157765,M6
ENSG00000122367,M12
ENSG00000123560,M19
ENSG00000172403,M12
ENSG00000182795,M6
ENSG00000133710,M22
ENSG00000242515,M21
ENSG00000107796,M1
ENSG00000115138,M9
ENSG00000105048,M18
ENSG00000084674,M13
ENSG00000143196,M1
ENSG00000106258,M21
ENSG00000249669,M1
ENSG00000108821,M1
ENSG00000241119,M21
ENSG00000163359,M1
ENSG00000244122,M21
ENSG00000244474,M21
ENSG00000180139,M1
ENSG00000163431,M1
ENSG00000130203,M13
ENSG00000139329,M1
ENSG00000168542,M1
ENSG00000148677,M18
ENSG00000242366,M21
ENSG00000142765,M6
ENSG00000197766,M1
ENSG00000243135,M21
ENSG00000240224,M21
ENSG00000091513,M13
ENSG00000130208,M13
ENSG00000171564,M13
ENSG00000164825,M6
ENSG00000211892,M14
ENSG00000115461,M1
ENSG00000143536,M22
ENSG00000173991,M18
ENSG00000011465,M1
ENSG00000197614,M1
ENSG00000115414,M1
ENSG00000178363,M22
ENSG00000010438,M23
ENSG00000101443,M6
ENSG00000149418,M6
ENSG00000165215,M6
ENSG00000143375,M6
ENSG00000009950,M25
ENSG00000166535,M22
ENSG00000242371,M14
ENSG00000117472,M6
ENSG00000076826,M6
ENSG00000125414,M18
ENSG00000204385,M6
ENSG00000184956,M23
ENSG00000134762,M22
ENSG00000068078,M6
ENSG00000142973,M11
ENSG00000136155,M22
ENSG00000077942,M1
ENSG00000072195,M12
ENSG00000103067,M6
ENSG00000118729,M12
ENSG00000181885,M6
ENSG00000149451,M1
ENSG00000263065,M1
ENSG00000164692,M1
ENSG00000119535,M10
ENSG00000241351,M14
ENSG00000186439,M18
ENSG00000187908,M6
ENSG00000186832,M22
ENSG00000183091,M18
ENSG00000168079,M1
ENSG00000211598,M14
ENSG00000266844,M19
ENSG00000163092,M18
ENSG00000015413,M21
ENSG00000105409,M9
ENSG00000004776,M12
ENSG00000106809,M1
ENSG00000176153,M21
ENSG00000154553,M12
ENSG00000167656,M22
ENSG00000113645,M6
ENSG00000239474,M18
ENSG00000100628,M12
ENSG00000109846,M12
ENSG00000211949,M14
ENSG00000101938,M1
ENSG00000149596,M12
ENSG00000101335,M1
ENSG00000129354,M6
ENSG00000160180,M14
ENSG00000034971,M1
ENSG00000182253,M12
ENSG00000073282,M22
ENSG00000124466,M22
ENSG00000185499,M6
ENSG00000087245,M1
ENSG00000168334,M18
ENSG00000115593,M18
ENSG00000187955,M1
ENSG00000265190,M22
ENSG00000263335,M1
ENSG00000167642,M6
ENSG00000244437,M14
ENSG00000142615,M23
ENSG00000170890,M23
ENSG00000102109,M9
ENSG00000198467,M12
ENSG00000142661,M18
ENSG00000187288,M25
ENSG00000163520,M1
ENSG00000143217,M22
ENSG00000131037,M6
ENSG00000124212,M1
ENSG00000133110,M1
ENSG00000134757,M22
ENSG00000162366,M6
ENSG00000257671,M6
ENSG00000118271,M13
ENSG00000149591,M1
ENSG00000133454,M18
ENSG00000130226,M9
ENSG00000165474,M22
ENSG00000166819,M25
ENSG00000109072,M13
ENSG00000105974,M1
ENSG00000121552,M22
ENSG00000171236,M13
ENSG00000237289,M6
ENSG00000167653,M6
ENSG00000160307,M19
ENSG00000091986,M1
ENSG00000022267,M12
ENSG00000167748,M23
ENSG00000162438,M23
ENSG00000243480,M23
ENSG00000167183,M6
ENSG00000188783,M1
ENSG00000267328,M12
ENSG00000018280,M10
ENSG00000167676,M25
ENSG00000109061,M18
ENSG00000237125,M1
ENSG00000211445,M1
ENSG00000116132,M1
ENSG00000139540,M21
ENSG00000133477,M6
ENSG00000144810,M1
ENSG00000211653,M14
ENSG00000155657,M18
ENSG00000132693,M13
ENSG00000166448,M9
ENSG00000062282,M25
