module,n_genes,Zdensity,Zconnectivity,Zsummary,species,n_common,n_tissues,n_libs
M12,183,4.75,-2.28,1.23,Pan_troglodytes,10169,19,343
M14,84,0.19,4.21,2.2,Pan_troglodytes,10169,19,343
M1,816,0.41,-6.55,-3.07,Pan_troglodytes,10169,19,343
M6,276,-1.25,0.64,-0.31,Pan_troglodytes,10169,19,343
M22,64,-3.17,-2.05,-2.61,Pan_troglodytes,10169,19,343
M23,49,-2.13,-1.06,-1.59,Pan_troglodytes,10169,19,343
M21,65,8.15,0.24,4.19,Pan_troglodytes,10169,19,343
M18,89,12.99,2.89,7.94,Pan_troglodytes,10169,19,343
M13,128,29.83,2.31,16.07,Pan_troglodytes,10169,19,343
M9,233,74.11,1.94,38.02,Pan_troglodytes,10169,19,343
M25,42,-1.66,-2.09,-1.88,Pan_troglodytes,10169,19,343
M19,86,34.12,-0.49,16.81,Pan_troglodytes,10169,19,343
M11,184,-1.61,3.34,0.87,Pan_troglodytes,10169,19,343
M10,225,2.6,2.88,2.74,Pan_troglodytes,10169,19,343
M24,25,8.51,2.04,5.28,Pan_troglodytes,10169,19,343
M5,207,0.36,2.86,1.61,Pan_troglodytes,10169,19,343
M15,125,4.13,1.98,3.05,Pan_troglodytes,10169,19,343
M26,15,7.74,1.39,4.56,Pan_troglodytes,10169,19,343
M2,591,42.8,1.82,22.31,Pan_troglodytes,10169,19,343
M4,369,16.45,2.39,9.42,Pan_troglodytes,10169,19,343
M8,241,9.91,6.04,7.98,Pan_troglodytes,10169,19,343
M3,370,26.1,2.23,14.17,Pan_troglodytes,10169,19,343
M17,94,5.71,2.49,4.1,Pan_troglodytes,10169,19,343
M20,52,6.4,0.69,3.54,Pan_troglodytes,10169,19,343
M16,120,11.42,1.01,6.21,Pan_troglodytes,10169,19,343
M7,253,22.59,1.57,12.08,Pan_troglodytes,10169,19,343
M27,13,2.43,-2.0,0.22,Pan_troglodytes,10169,19,343
M12,184,11.67,0.58,6.12,Pan_paniscus,10368,1,13
M14,86,6.51,0.86,3.68,Pan_paniscus,10368,1,13
M1,834,9.25,2.59,5.92,Pan_paniscus,10368,1,13
M6,282,-4.55,-3.42,-3.98,Pan_paniscus,10368,1,13
M22,68,-2.74,-1.97,-2.36,Pan_paniscus,10368,1,13
M23,53,-1.37,-3.02,-2.19,Pan_paniscus,10368,1,13
M21,67,-2.25,-1.1,-1.68,Pan_paniscus,10368,1,13
M18,95,-1.57,-1.15,-1.36,Pan_paniscus,10368,1,13
M13,132,0.37,-1.78,-0.7,Pan_paniscus,10368,1,13
M9,240,30.68,-0.97,14.86,Pan_paniscus,10368,1,13
M25,43,-1.48,-0.94,-1.21,Pan_paniscus,10368,1,13
M19,87,4.63,-0.56,2.03,Pan_paniscus,10368,1,13
M11,188,15.64,2.26,8.95,Pan_paniscus,10368,1,13
M10,238,30.26,7.72,18.99,Pan_paniscus,10368,1,13
M24,35,0.78,-1.12,-0.17,Pan_paniscus,10368,1,13
M5,210,5.03,2.16,3.59,Pan_paniscus,10368,1,13
M15,129,28.57,3.27,15.92,Pan_paniscus,10368,1,13
M26,16,16.35,1.92,9.13,Pan_paniscus,10368,1,13
M2,605,48.5,4.66,26.58,Pan_paniscus,10368,1,13
M4,383,-3.67,-3.7,-3.68,Pan_paniscus,10368,1,13
M8,253,-3.56,-4.02,-3.79,Pan_paniscus,10368,1,13
M3,392,5.68,0.44,3.06,Pan_paniscus,10368,1,13
M17,100,12.68,2.66,7.67,Pan_paniscus,10368,1,13
M20,57,6.3,0.16,3.23,Pan_paniscus,10368,1,13
M16,127,6.7,0.85,3.77,Pan_paniscus,10368,1,13
M7,255,17.68,-1.34,8.17,Pan_paniscus,10368,1,13
M27,13,0.87,-0.89,-0.01,Pan_paniscus,10368,1,13
M12,180,0.77,-0.27,0.25,Gorilla_gorilla,10376,3,12
M14,80,-0.06,3.03,1.49,Gorilla_gorilla,10376,3,12
M1,825,4.71,3.11,3.91,Gorilla_gorilla,10376,3,12
M6,278,-0.5,-1.69,-1.1,Gorilla_gorilla,10376,3,12
M22,67,0.77,-1.14,-0.19,Gorilla_gorilla,10376,3,12
M23,52,-0.88,1.69,0.41,Gorilla_gorilla,10376,3,12
M21,63,-0.56,-0.7,-0.63,Gorilla_gorilla,10376,3,12
M18,95,-1.28,0.17,-0.55,Gorilla_gorilla,10376,3,12
M13,134,-0.39,-0.09,-0.24,Gorilla_gorilla,10376,3,12
M9,240,24.57,2.99,13.78,Gorilla_gorilla,10376,3,12
M25,44,-0.21,-0.76,-0.49,Gorilla_gorilla,10376,3,12
M19,87,19.75,0.83,10.29,Gorilla_gorilla,10376,3,12
M11,191,1.43,1.46,1.45,Gorilla_gorilla,10376,3,12
M10,238,1.39,1.2,1.3,Gorilla_gorilla,10376,3,12
M24,33,14.95,1.53,8.24,Gorilla_gorilla,10376,3,12
M5,203,-0.24,-1.08,-0.66,Gorilla_gorilla,10376,3,12
M15,127,5.38,3.17,4.27,Gorilla_gorilla,10376,3,12
M26,14,3.15,1.52,2.33,Gorilla_gorilla,10376,3,12
M2,615,3.99,4.89,4.44,Gorilla_gorilla,10376,3,12
M4,385,53.6,5.76,29.68,Gorilla_gorilla,10376,3,12
M8,255,45.41,12.31,28.86,Gorilla_gorilla,10376,3,12
M3,391,8.39,0.23,4.31,Gorilla_gorilla,10376,3,12
M17,103,1.54,-0.84,0.35,Gorilla_gorilla,10376,3,12
M20,56,4.63,1.74,3.18,Gorilla_gorilla,10376,3,12
M16,125,8.8,2.56,5.68,Gorilla_gorilla,10376,3,12
