species,o2o,bgee_ids,overlap,status
Pan_troglodytes,21701,24250,17114,OK
Pan_paniscus,21988,23616,18288,OK
Gorilla_gorilla,21982,23409,17749,OK
Callithrix_jacchus,18647,26466,15173,OK
Macaca_mulatta,19941,24067,16715,OK
Macaca_fascicularis,19154,23916,14916,OK
Papio_anubis,19597,25301,15716,OK
Chlorocebus_sabaeus,20724,21972,17992,OK
Cercocebus_atys,20391,22652,17456,OK
Microcebus_murinus,16692,20783,15212,OK
Mus_musculus,17146,41200,16306,OK
Rattus_norvegicus,16449,22973,14574,OK
Cavia_porcellus,16218,20025,15336,OK
Heterocephalus_glaber,15002,21950,10607,OK
Oryctolagus_cuniculus,14881,22149,14181,OK
Canis_lupus_familiaris,16641,21636,0,MISMATCH
Felis_catus,16160,21594,0,MISMATCH
Sus_scrofa,16988,24861,15432,OK
Bos_taurus,16827,23016,15201,OK
Capra_hircus,16466,21190,15515,OK
Ovis_aries,16810,22168,0,MISMATCH
Equus_caballus,16405,22293,15002,OK
Monodelphis_domestica,14244,24385,13763,OK
Ornithorhynchus_anatinus,14097,26240,14095,OK
Gallus_gallus,12867,18342,0,MISMATCH
Meleagris_gallopavo,11380,14457,9836,OK
Anolis_carolinensis,12531,20452,10915,OK
Xenopus_tropicalis,13041,19868,11483,OK
Danio_rerio,9784,27168,9695,OK
