module,source,native,name,p_value,term_size,intersection_size
M1,GO:BP,GO:0048513,animal organ development,0.0,2113,267
M1,GO:BP,GO:0007160,cell-matrix adhesion,0.0,207,58
M1,KEGG,KEGG:04518,Integrin signaling,0.0,138,43
M1,GO:BP,GO:0023052,signaling,0.0,4231,450
M1,GO:BP,GO:0040017,positive regulation of locomotion,0.0,483,95
M1,REAC,REAC:R-HSA-2129379,Molecules associated with elastic fibres,0.0,36,22
M1,GO:BP,GO:0034330,cell junction organization,0.0,661,116
M1,GO:BP,GO:0007154,cell communication,0.0,4259,450
M1,GO:BP,GO:0090287,regulation of cellular response to growth factor stimulus,0.0,241,62
M1,GO:BP,GO:0030335,positive regulation of cell migration,0.0,456,91
M1,GO:BP,GO:2000147,positive regulation of cell motility,0.0,472,93
M1,GO:BP,GO:0008283,cell population proliferation,0.0,1415,195
M1,GO:BP,GO:0050793,regulation of developmental process,0.0,1754,227
M1,GO:BP,GO:0071495,cellular response to endogenous stimulus,0.0,906,141
M1,KEGG,KEGG:04820,Cytoskeleton in muscle cells,0.0,211,52
M1,REAC,REAC:R-HSA-3000171,Non-integrin membrane-ECM interactions,0.0,56,26
M1,GO:BP,GO:0007165,signal transduction,0.0,3888,414
M1,GO:BP,GO:0009719,response to endogenous stimulus,0.0,1068,157
M1,GO:BP,GO:0009887,animal organ morphogenesis,0.0,762,124
M1,GO:BP,GO:0007156,homophilic cell-cell adhesion,0.0,146,45
M1,REAC,REAC:R-HSA-162582,Signal Transduction,0.0,1752,218
M1,GO:BP,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,0.0,279,65
M1,GO:BP,GO:0030199,collagen fibril organization,0.0,63,29
M1,REAC,REAC:R-HSA-1474228,Degradation of the extracellular matrix,0.0,117,37
M1,GO:BP,GO:0048729,tissue morphogenesis,0.0,494,92
M1,REAC,REAC:R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,0.0,55,25
M1,GO:BP,GO:0010810,regulation of cell-substrate adhesion,0.0,184,50
M1,GO:BP,GO:0042127,regulation of cell population proliferation,0.0,1190,167
M1,REAC,REAC:R-HSA-216083,Integrin cell surface interactions,0.0,76,29
M1,GO:BP,GO:0007155,cell adhesion,2.981956815e-40,1235,237
M1,GO:BP,GO:0048731,system development,2.3580859859999997e-34,2910,397
M1,REAC,REAC:R-HSA-1474244,Extracellular matrix organization,4.725072544999999e-34,261,90
M1,GO:BP,GO:0009653,anatomical structure morphogenesis,9.086448724e-33,2032,308
M1,GO:BP,GO:0016477,cell migration,2.1638130910000002e-30,1237,218
M1,GO:BP,GO:0007275,multicellular organism development,3.006619405e-30,3312,423
M1,GO:BP,GO:0030198,extracellular matrix organization,2.077548298e-28,258,85
M1,GO:BP,GO:0043062,extracellular structure organization,2.876426032e-28,259,85
M1,GO:BP,GO:0045229,external encapsulating structure organization,3.975009526e-28,260,85
