module,size,Zdensity,Zconnectivity,Zsummary,rank_density,rank_conn,medianRank
M8,240,133.9,4.5,69.2,5.0,2.0,3.5
M9,244,84.6,1.1,42.9,3.0,19.0,11.0
M10,168,64.2,1.0,32.6,2.0,14.0,8.0
M18,81,56.9,2.2,29.5,6.0,5.0,5.5
M6,262,44.2,2.0,23.1,9.0,11.0,10.0
M1,858,36.0,6.8,21.4,19.0,10.0,14.5
M19,89,39.0,-0.3,19.4,7.0,25.0,16.0
M26,10,35.7,0.8,18.3,1.0,3.0,2.0
M24,31,30.4,2.3,16.4,4.0,1.0,2.5
M13,103,29.4,0.6,15.0,12.0,17.0,14.5
M7,249,25.9,-0.9,12.5,10.0,26.0,18.0
M2,581,26.0,-1.5,12.3,15.0,23.0,19.0
M21,57,18.9,2.0,10.5,8.0,6.0,7.0
M11,183,18.7,1.9,10.3,16.0,9.0,12.5
M15,112,17.5,0.6,9.1,11.0,21.0,16.0
M3,323,19.1,-2.2,8.5,14.0,27.0,20.5
M5,201,13.3,2.0,7.7,24.0,12.0,18.0
M4,274,14.0,-1.1,6.5,18.0,24.0,21.0
M14,44,9.9,2.0,6.0,13.0,7.0,10.0
M17,99,9.6,0.7,5.2,23.0,15.0,19.0
M25,40,6.7,1.7,4.2,22.0,8.0,15.0
M22,47,7.6,0.2,3.9,17.0,18.0,17.5
M16,125,6.3,0.7,3.5,21.0,20.0,20.5
M20,46,5.7,1.2,3.4,20.0,13.0,16.5
M12,183,3.4,0.9,2.2,25.0,16.0,20.5
M23,27,1.4,1.5,1.4,27.0,4.0,15.5
M27,10,0.3,0.4,0.3,26.0,22.0,24.0
