"module","n_species","K","K_p","lambda","lambda_p","top_tissue","mean_Zsummary"
"M9",26,0.115,0.618,0,1,"BRAIN",24.87
"M8",26,0.073,0.872,0,1,"TESTIS",22.59
"M2",26,0.209,0.11,0.471,0.179,"OVARY",21.47
"M18",26,0.133,0.471,0,1,"MUSCLE",17.34
"M10",26,0.198,0.275,0,1,"SPLEEN",17.01
"M7",26,0.068,0.895,0,1,"TESTIS",15.09
"M3",26,0.468,0.002,0.851,0.00544,"PITUITARY",14.98
"M4",26,0.055,0.947,0,1,"TESTIS",14.67
"M26",21,0.263,0.152,0,1,"BRAIN",12.63
"M19",26,0.153,0.283,0,1,"BRAIN",12.34
"M13",26,0.122,0.504,0,1,"LIVER",11.06
"M16",26,0.199,0.151,0,1,"PITUITARY",7.91
"M15",26,0.165,0.356,0,1,"BLOOD",6.68
"M5",26,0.257,0.041,0,1,"OVARY",5.96
"M24",26,0.299,0.064,0.831,0.018,"UTERUS",5.49
"M1",26,0.139,0.38,0,1,"BLOOD_VESSEL",5.34
"M17",26,0.123,0.489,0,1,"MUSCLE",5.31
"M22",26,0.066,0.83,0,1,"VAGINA",4.25
"M6",26,0.181,0.21,0,1,"SALIVARY_GLAND",4.07
"M12",26,0.148,0.344,0,1,"MUSCLE",3.42
"M21",26,0.154,0.311,0,1,"LIVER",3.15
"M11",26,0.289,0.041,0,1,"ADIPOSE_TISSUE",3.06
"M20",26,0.338,0.007,0.692,0.00616,"TESTIS",2.52
"M27",26,0.099,0.677,0,1,"LUNG",0.96
"M14",26,0.398,0.004,0.767,0.491,"SPLEEN",0.87
"M25",26,0.098,0.711,0,1,"ADIPOSE_TISSUE",0.18
"M23",26,0.16,0.326,0,1,"PANCREAS",-0.85
