species,M9,M8,M2,M18,M10,M7,M3,M4,M26,M19,M13,M16,M15,M5,M24,M1,M17,M22,M6,M12,M21,M11,M20,M27,M14,M25,M23
Anolis_carolinensis,3.18,14.91,16.29,1.42,-2.15,10.92,6.14,0.42,4.09,1.49,-0.3,5.55,0.64,4.97,4.91,5.65,2.51,-1.43,-1.65,0.86,-0.12,0.66,-0.17,-0.05,-2.15,-2.18,-2.38
Bos_taurus,24.08,27.86,24.63,69.1,71.64,14.75,27.06,7.2,22.57,7.52,34.43,12.85,27.44,7.77,5.34,18.02,8.03,6.62,6.59,10.34,8.37,10.41,4.8,3.69,4.44,2.26,-0.93
Callithrix_jacchus,30.7,15.95,22.28,18.94,4.47,11.12,7.86,28.42,,17.73,36.2,2.69,3.53,3.02,11.01,10.44,2.91,2.8,2.28,10.31,7.24,6.95,2.84,0.34,1.0,0.11,-2.02
Canis_lupus_familiaris,32.35,25.46,27.11,12.68,10.57,21.0,21.48,33.66,,14.81,9.48,11.28,6.53,8.01,3.55,4.96,5.99,11.25,4.63,2.08,1.02,3.07,4.03,1.7,1.19,1.22,-0.53
Capra_hircus,8.35,60.08,30.84,74.67,37.28,23.39,23.68,2.07,11.2,0.84,32.68,10.48,7.52,2.34,5.27,9.72,5.03,36.48,13.19,5.52,9.02,5.77,3.12,1.45,2.58,3.51,-1.44
Cavia_porcellus,38.02,15.08,25.05,9.79,-0.31,14.35,22.76,27.05,15.82,22.64,11.69,7.98,4.87,7.37,3.32,2.79,1.74,11.39,3.93,0.31,3.47,2.04,4.64,0.35,-2.21,0.58,-1.94
Chlorocebus_sabaeus,18.32,8.09,18.72,-2.46,13.32,10.99,20.11,4.66,10.55,11.54,-0.87,17.81,5.6,9.75,6.45,12.51,12.87,-2.41,3.84,3.07,-1.38,2.58,1.03,3.51,0.44,-1.23,-0.68
Danio_rerio,27.35,44.64,12.5,3.9,4.92,18.23,8.82,22.64,17.9,11.68,3.62,5.97,1.74,12.33,9.33,0.06,4.68,2.36,0.98,0.92,-0.27,0.36,0.03,1.66,-1.07,-1.39,0.82
Equus_caballus,29.19,27.26,17.5,48.77,98.01,12.77,20.31,37.37,26.82,20.36,11.46,16.82,27.78,9.81,4.64,16.0,6.6,5.05,16.66,3.23,2.08,4.28,6.43,1.13,6.46,-0.11,3.13
Felis_catus,10.63,16.02,15.72,3.56,1.78,17.09,13.86,20.5,,5.9,3.87,5.09,1.02,1.66,2.57,-1.09,2.28,2.1,-0.46,0.04,1.27,-1.23,4.35,-0.6,-2.25,-0.41,-1.72
Gallus_gallus,25.57,24.07,19.74,4.9,8.11,12.17,9.48,7.32,15.36,12.13,3.47,4.52,1.5,5.73,6.74,0.57,2.88,-0.67,-0.15,0.21,2.6,0.16,0.16,-0.79,-0.29,-1.82,-1.43
Heterocephalus_glaber,18.82,6.58,17.54,5.63,-1.56,12.13,17.01,4.44,8.55,7.42,6.92,3.39,1.49,3.05,1.78,-1.97,2.56,6.94,0.01,1.25,1.34,1.25,3.16,-0.02,-1.73,-1.74,-2.09
Macaca_fascicularis,28.25,32.61,31.52,14.27,30.98,24.05,21.71,49.42,,14.64,18.96,11.42,13.97,5.19,3.29,0.38,3.06,11.8,5.69,0.75,4.65,3.4,5.1,2.24,2.27,1.32,-1.37
Macaca_mulatta,36.45,9.8,23.09,5.67,4.97,11.49,13.49,9.94,1.44,22.43,11.96,5.07,2.65,3.06,8.71,0.21,2.87,-2.09,2.62,2.17,4.08,2.05,2.29,-0.04,1.49,-0.37,-2.05
Meleagris_gallopavo,11.12,27.67,20.28,11.27,15.87,16.43,9.45,2.62,16.57,6.31,2.43,4.56,8.03,8.99,-1.13,4.63,5.42,-0.17,8.14,1.66,5.61,2.55,0.28,0.52,0.14,-1.0,2.15
Microcebus_murinus,33.01,7.76,23.38,18.49,7.94,7.09,6.76,19.51,4.73,19.22,20.99,2.71,2.95,2.1,9.57,-0.9,6.8,-1.36,1.65,8.92,4.85,2.71,2.19,2.1,-0.25,-1.14,-1.63
Monodelphis_domestica,0.38,3.12,6.25,0.84,0.81,5.8,3.98,0.48,3.05,0.01,2.07,2.52,3.05,3.27,3.69,1.03,2.47,0.41,0.88,0.97,-0.75,0.22,0.88,-0.12,-1.12,-1.29,-1.3
Mus_musculus,22.52,20.47,25.31,8.59,7.64,18.92,16.56,4.81,11.82,10.24,3.64,9.42,2.98,8.72,3.41,5.82,12.09,1.88,1.04,3.01,1.32,2.98,0.55,3.05,0.49,1.97,-0.18
Ornithorhynchus_anatinus,20.47,18.54,13.51,5.82,10.15,13.62,5.2,23.1,10.91,13.26,7.18,2.71,3.62,7.06,4.64,4.77,1.49,0.54,-1.69,1.03,2.66,2.52,0.68,0.11,0.6,-1.93,-1.27
Oryctolagus_cuniculus,23.36,30.91,30.29,5.38,-1.48,19.9,16.58,4.9,12.19,10.39,4.48,6.47,-0.02,1.77,6.63,4.74,3.11,1.41,1.47,1.73,1.39,1.86,1.78,-0.54,-0.48,-1.81,-2.54
Ovis_aries,9.31,20.76,18.04,17.27,27.45,16.76,23.53,-0.5,7.16,2.82,2.24,11.36,12.06,6.66,2.51,9.94,9.21,8.61,8.35,2.77,2.8,7.21,4.33,1.21,2.22,1.91,-3.02
Pan_troglodytes,38.02,7.98,22.31,7.94,2.74,12.08,14.17,9.42,4.56,16.81,16.07,6.21,3.05,1.61,5.28,-3.07,4.1,-2.61,-0.31,1.23,4.19,0.87,3.54,0.22,2.2,-1.88,-1.59
Papio_anubis,69.99,31.25,39.43,27.57,37.22,16.81,21.34,13.66,,31.87,3.73,8.47,11.47,4.66,4.47,15.08,9.04,12.4,12.59,10.21,1.71,5.1,4.37,0.5,4.17,8.28,2.48
Rattus_norvegicus,37.7,44.92,24.21,17.39,9.66,21.84,19.51,16.05,19.25,17.48,9.37,8.25,3.9,3.1,4.2,4.82,5.79,0.74,3.88,3.98,2.81,2.55,1.78,1.37,1.39,0.57,-0.72
Sus_scrofa,19.74,20.27,23.3,47.77,33.55,18.06,14.69,25.01,15.85,8.69,26.59,19.49,15.86,11.22,2.74,10.18,9.98,-1.95,8.87,10.02,8.46,5.66,3.08,1.99,4.26,1.27,-2.21
Xenopus_tropicalis,29.83,25.25,9.43,11.64,8.69,10.62,4.0,7.36,24.79,12.67,5.14,2.5,0.5,11.8,19.92,3.54,4.57,0.45,2.9,2.3,3.46,3.65,0.13,-0.07,-1.24,0.06,2.3
