module,TF_a,TF_b,shap_interaction
M14,IKZF1,BHLHA15,1.1779789924621582
M14,IKZF1,IRF4,1.152483582496643
M13,NR1I3,ATF5,1.1076021194458008
M1,TWIST2,TCF7L1,1.0718282461166382
M18,NFE2L1,ZNF740,0.9241352081298828
M14,IRF4,BHLHA15,0.8639314770698547
M1,SKI,TCF7L1,0.8377421498298645
M6,GRHL2,ELF3,0.8311470746994019
M12,ZBTB47,CASZ1,0.811150074005127
M6,GRHL2,OVOL2,0.8054754137992859
M11,ERG,FLI1,0.7975512742996216
M10,IKZF1,SPI1,0.7857497334480286
M1,TCF7L1,GLI3,0.7692338824272156
M6,GRHL2,IRF6,0.739142656326294
M10,IKZF1,SOX9,0.6932495832443237
M6,GRHL2,FOXA1,0.6764235496520996
M14,IKZF3,IRF4,0.6739095449447632
M6,GRHL2,EHF,0.6457738280296326
M22,GRHL1,SOX15,0.6379637718200684
M1,TCF7L1,ZNF25,0.6303719878196716
M8,FOXM1,E2F2,0.6205857992172241
M12,ZBTB47,PBX4,0.5775870680809021
M6,GRHL2,KLF5,0.570610761642456
M5,PLAGL1,ZNF90,0.5539254546165466
M22,GRHL1,TFAP2A,0.5151621103286743
M9,ST18,MYT1,0.498106837272644
M8,FOXM1,MYBL2,0.4907939434051513
M10,IKZF1,LYL1,0.484283447265625
M12,ZBTB47,ZNF532,0.4692725837230682
M12,ZBTB47,ZEB1,0.457415223121643
M23,NR5A2,BHLHA15,0.4512491524219513
M5,ZNF90,CREB3L2,0.4271831214427948
M19,ZNF536,SOX2,0.4188949167728424
M21,HNF4A,NR1H4,0.4127363860607147
M19,SOX8,CASZ1,0.4040648341178894
M11,ERG,TAL1,0.3999212682247162
M25,PPARG,CEBPA,0.3865932524204254
M12,PBX4,CASZ1,0.3778128325939178
M2,ZFP30,ZFP28,0.3744772672653198
M7,ZNF609,MGA,0.3737976849079132
M9,MYT1,ZFHX2,0.3669490814208984
M4,ZNF667,ZNF599,0.3606333136558532
M1,TCF7L1,GLI2,0.3337681889533996
M14,IKZF1,IKZF3,0.332372784614563
M14,IKZF3,BHLHA15,0.331954151391983
M19,SOX8,ZNF536,0.3226420879364013
M3,ZNF76,ZNF789,0.321379691362381
M9,ST18,ZFHX2,0.3056486248970032
M1,TWIST2,ZNF25,0.3054707646369934
M14,NKX2-3,IRF4,0.3054702281951904
M22,GRHL1,E2F2,0.3041415214538574
M1,ZNF471,TWIST2,0.3033981025218963
M6,GRHL2,FOXA2,0.3027424216270447
M15,STAT6,SP110,0.3022271692752838
M9,HOXB3,MYT1,0.3003767728805542
M1,TCF7L1,OVOL2,0.2985097169876098
M1,NFATC4,TCF7L1,0.2984191179275512
M19,SOX8,SOX2,0.2962187826633453
M12,ZEB1,CASZ1,0.2951132655143738
M22,TFAP2A,TP63,0.28998664021492
M18,NFE2L1,HOXA7,0.2834577262401581
M2,ZNF512,ZFP30,0.2828361392021179
M9,PAX6,MYT1,0.2797372341156006
M12,ZBTB47,MITF,0.2788971662521362
M6,GRHL2,ZNF675,0.2749146521091461
M11,SOX18,ERG,0.2744521796703338
M17,NFE2L1,ESRRA,0.271955668926239
M11,ERG,SOX17,0.2706643939018249
M21,HNF1A,HNF4A,0.2648395597934723
M15,STAT6,ELF4,0.2634089887142181
M1,NFATC4,TWIST2,0.2632802128791809
M1,ZNF471,TCF7L1,0.2625418603420257
M6,GRHL2,SALL4,0.2558852732181549
M4,ZNF667,ZNF135,0.2537494897842407
M3,CRAMP1,ZNF789,0.2526582777500152
M1,TCF7L1,PEG3,0.2524848878383636
M14,NKX2-3,FOXA1,0.2508338987827301
M9,ZNF382,ST18,0.2501389384269714
M25,PPARG,MLXIPL,0.2474602907896042
M1,TWIST2,ZNF426,0.2459400743246078
M18,NFE2L1,ESRRA,0.245656743645668
M8,FOXM1,ZNF367,0.2428226470947265
M9,PAX6,ZFHX2,0.2416003197431564
M10,IKZF1,SP110,0.2402960956096649
M14,IKZF1,FOXA1,0.2388552129268646
M15,STAT6,SPI1,0.2376555502414703
M8,FOXM1,E2F7,0.2376012355089187
M16,CREB3L2,HNF1B,0.2362133860588073
M1,SKI,ZNF25,0.2324888557195663
M18,ETV2,NFE2L1,0.230972334742546
M6,GRHL2,OVOL1,0.2307449132204055
M5,ZNF90,KLF3,0.2305845320224762
M13,MLXIPL,HNF1B,0.2296751141548156
M22,GRHL1,HES2,0.2282206118106842
M11,ERG,EPAS1,0.2255434244871139
M14,IKZF1,ZNF552,0.2255115658044815
M3,ZNF133,ZNF76,0.2242887169122696
M1,TWIST2,GLI2,0.2205888032913208
M3,POGZ,ZNF789,0.2203177660703659
M26,TBX19,ZBTB42,0.2199775129556656
M1,TWIST2,GLI3,0.2195040881633758
M11,SOX18,SOX17,0.2182718217372894
M9,ST18,ZNF667,0.217946708202362
M14,IKZF1,NKX2-3,0.2168484330177307
M25,CEBPA,TBX15,0.2137803137302398
M21,HNF4A,PPARA,0.2137310653924942
M15,SP110,ELF4,0.2136795669794082
M14,IKZF3,FOXA1,0.2132343649864196
M19,SOX8,NPAS3,0.2120365649461746
M1,NFATC4,ATF7,0.2115042060613632
M10,TBX21,SPI1,0.2107883989810943
M5,ZNF90,ELF1,0.2106095552444458
M14,NKX2-3,BHLHA15,0.2087035030126571
M6,GRHL2,BBX,0.2086634486913681
M8,E2F2,E2F7,0.2086453288793563
M10,IKZF1,SNAI3,0.2073838263750076
M11,FLI1,EPAS1,0.2071697562932968
M13,MLXIPL,NR1H4,0.2040195316076278
M17,NFE2L1,TBX19,0.2036165297031402
M6,GRHL2,MZF1,0.2031488269567489
M12,OVOL2,CASZ1,0.2011879980564117
M13,NR1I3,NR1H4,0.1990564316511154
M21,HNF4A,OVOL1,0.1984838992357254
M16,ADNP2,CREB3L2,0.1947317868471145
M8,FOXM1,CEBPA,0.1925981193780899
M25,PPARG,TBX15,0.1912522166967392
M12,ZEB1,PBX4,0.1910149902105331
M1,GLI3,GLI2,0.1909955441951751
M1,GLI2,PEG3,0.1900110244750976
M6,GRHL2,NKX2-3,0.1893087178468704
M5,ZNF765,ZNF90,0.1881745755672454
M21,HNF1A,NR1H4,0.1878418028354644
M1,SKI,OVOL2,0.1841973513364792
M12,ZBTB47,NFATC4,0.1840104907751083
M9,PAX6,ST18,0.1814283430576324
M18,ZBTB47,ESRRA,0.1805634498596191
M2,ZNF512,ZFP28,0.1779662519693374
M18,ZNF740,ESRRA,0.1778277456760406
M3,CRAMP1,ZNF140,0.1775544881820678
M18,HOXA7,ESRRA,0.1764623969793319
M2,ZFP28,ZNF286A,0.1733718663454055
M5,PLAGL1,KLF3,0.1732134670019149
M10,SPI1,SP140,0.1729263365268707
M22,GRHL1,TP63,0.1708258390426635
M20,LYL1,TBX3,0.1695540398359298
M2,ZFP30,ZNF347,0.1683349758386612
M3,CRAMP1,ZNF76,0.1670571118593216
M3,ZNF133,ZNF789,0.1666224300861358
M3,POGZ,ZNF76,0.1665111929178238
M15,STAT6,FLI1,0.1663486808538437
M22,TFAP2A,KLF5,0.165921002626419
M15,SP110,FLI1,0.1650435626506805
M18,HOXA7,CASZ1,0.1648211479187011
M2,ZFP30,ZNF146,0.1642343550920486
M3,ZNF133,POGZ,0.1632695645093917
M16,CREB3L2,SIX4,0.1625670790672302
M1,SKI,NFATC4,0.1612600684165954
M14,SPDEF,AR,0.1604561656713485
M20,LYL1,ZBTB48,0.1601197868585586
M7,ZNF609,ZNF343,0.1599598973989486
M3,ZNF76,ZNF783,0.1593876332044601
M2,ZFP90,IKZF4,0.1587160378694534
M19,ZNF536,SOX10,0.1586645990610122
M24,HOXA7,HOXD4,0.1586641818284988
M1,NFATC4,GLI2,0.1580015867948532
M2,ZFP90,ZNF471,0.1577417552471161
M25,CEBPA,MLXIPL,0.1574784517288208
M1,TWIST2,OVOL2,0.1570269465446472
M12,MITF,OVOL2,0.1569396257400512
M5,ZNF525,ZNF90,0.1566893309354782
M2,ZFP30,ZNF471,0.1558352261781692
M14,IRF4,FOXA1,0.1554986983537674
M6,ELF3,FOXA2,0.1550919413566589
M18,MITF,ZNF740,0.1547835767269134
M4,ZNF433,ZNF20,0.154021605849266
M15,ELF4,SPI1,0.153858944773674
M6,FOXA1,ELF3,0.1531791388988495
M19,GATA5,ZNF536,0.152629941701889
M26,TBX19,REL,0.1525634229183197
M1,NFATC4,GLI3,0.1516089290380478
M2,ZFP28,ZNF568,0.1513307839632034
M2,ZNF512,IKZF4,0.1509832143783569
M12,ZEB1,MITF,0.149391233921051
M12,ZBTB47,OVOL2,0.1492556929588318
M23,NR5A2,FOXA1,0.1491174846887588
M8,E2F2,MYBL2,0.1486690193414688
M1,GLI3,ZNF25,0.1482616364955902
