module,TF,TF_ens,xgb_gain,gain_rank
M1,ZNF471,ENSG00000196263,0.1282614171504974,1
M1,SKI,ENSG00000157933,0.0762661322951316,2
M1,NFATC4,ENSG00000100968,0.0665736347436904,3
M1,TWIST2,ENSG00000233608,0.0538970902562141,4
M1,TCF7L1,ENSG00000152284,0.0521125197410583,5
M1,GLI3,ENSG00000106571,0.044008657336235,6
M1,ZNF462,ENSG00000148143,0.0393081940710544,7
M1,ATF7,ENSG00000170653,0.0365570709109306,8
M1,TBX3,ENSG00000135111,0.0365027636289596,9
M1,ZNF25,ENSG00000175395,0.0263296756893396,10
M1,GLI2,ENSG00000074047,0.0246175862848758,11
M1,PEG3,ENSG00000198300,0.0227847173810005,12
M1,OVOL2,ENSG00000125850,0.0202223155647516,13
M1,FOXO1,ENSG00000150907,0.0190756991505622,14
M1,ZNF426,ENSG00000130818,0.016709504649043,15
M1,MEIS2,ENSG00000134138,0.0159374829381704,16
M1,PGR,ENSG00000082175,0.0147803323343396,17
M1,HIC1,ENSG00000177374,0.0143800769001245,18
M1,ZNF423,ENSG00000102935,0.0139219155535101,19
M1,TSHZ3,ENSG00000121297,0.0138012040406465,20
M2,ZNF579,ENSG00000218891,0.2117800563573837,1
M2,ZFP90,ENSG00000184939,0.1165526583790779,2
M2,ZNF512,ENSG00000243943,0.0668388083577156,3
M2,ZFP30,ENSG00000120784,0.053885094821453,4
M2,ZFP28,ENSG00000196867,0.037256933748722,5
M2,ZNF568,ENSG00000198453,0.0343984514474868,6
M2,ZNF37A,ENSG00000075407,0.0337711460888385,7
M2,ZNF664,ENSG00000179195,0.0295518599450588,8
M2,IKZF4,ENSG00000123411,0.0192877054214477,9
M2,ZNF347,ENSG00000197937,0.0192107986658811,10
M2,ZNF660,ENSG00000144792,0.0189392697066068,11
M2,ZNF146,ENSG00000167635,0.0184202939271926,12
M2,ZNF471,ENSG00000196263,0.0178764667361974,13
M2,POGZ,ENSG00000143442,0.0171145293861627,14
M2,ZNF286A,ENSG00000187607,0.0150123201310634,15
M2,ZNF322,ENSG00000181315,0.0134266410022974,16
M2,ZNF32,ENSG00000169740,0.0120873590931296,17
M2,ZNF891,ENSG00000214029,0.0112410373985767,18
M2,CRAMP1,ENSG00000007545,0.0106005426496267,19
M2,CLOCK,ENSG00000134852,0.0095570404082536,20
M3,ZNF133,ENSG00000125846,0.1124438345432281,1
M3,CRAMP1,ENSG00000007545,0.1109040528535842,2
M3,POGZ,ENSG00000143442,0.1058093085885047,3
M3,ZNF525,ENSG00000203326,0.0615124218165874,4
M3,DMTF1,ENSG00000135164,0.0599600337445735,5
M3,ZNF140,ENSG00000196387,0.0565954595804214,6
M3,ZNF875,ENSG00000181666,0.0416510216891765,7
M3,ZSCAN9,ENSG00000137185,0.039983544498682,8
M3,ZNF76,ENSG00000065029,0.0297072511166334,9
M3,ZNF789,ENSG00000198556,0.0293876770883798,10
M3,ZNF506,ENSG00000081665,0.0284095760434865,11
M3,ZNF891,ENSG00000214029,0.0260635204613208,12
M3,ZNF783,ENSG00000204946,0.0217161886394023,13
M3,ZNF785,ENSG00000197162,0.0199374835938215,14
M3,ZNF607,ENSG00000198182,0.0153322676196694,15
M3,MZF1,ENSG00000099326,0.014496624469757,16
M3,ZBTB48,ENSG00000204859,0.0127633772790431,17
M3,ZNF343,ENSG00000088876,0.0103872660547494,18
M3,ZNF141,ENSG00000131127,0.0081728920340538,19
M3,ZNF518A,ENSG00000177853,0.007016806397587,20
M4,ZNF546,ENSG00000187187,0.2604976594448089,1
M4,ZNF433,ENSG00000197647,0.1363479793071746,2
M4,NR6A1,ENSG00000148200,0.1173353865742683,3
M4,ETV2,ENSG00000105672,0.0940925404429435,4
M4,ZKSCAN2,ENSG00000155592,0.0446632951498031,5
M4,ZSCAN5A,ENSG00000131848,0.0244620218873024,6
M4,ZNF280B,ENSG00000275004,0.0191840510815382,7
M4,ZNF20,ENSG00000132010,0.0166650712490081,8
M4,ZNF667,ENSG00000198046,0.0157584827393293,9
M4,ZNF135,ENSG00000176293,0.015356907621026,10
M4,ZNF665,ENSG00000197497,0.0148235093802213,11
M4,ZNF177,ENSG00000188629,0.0130942668765783,12
M4,ZFP28,ENSG00000196867,0.0124779492616653,13
