module,n_genes,Zdensity,Zconnectivity,Zsummary,species,n_common,n_tissues,n_libs
M12,165,8.38,-2.83,2.77,Ovis_aries,8800,91,1179
M14,42,3.38,1.06,2.22,Ovis_aries,8800,91,1179
M1,759,18.04,1.84,9.94,Ovis_aries,8800,91,1179
M6,244,13.04,3.66,8.35,Ovis_aries,8800,91,1179
M22,53,16.17,1.05,8.61,Ovis_aries,8800,91,1179
M23,32,-2.97,-3.07,-3.02,Ovis_aries,8800,91,1179
M21,53,3.5,2.09,2.8,Ovis_aries,8800,91,1179
M18,79,34.24,0.29,17.27,Ovis_aries,8800,91,1179
M13,103,4.38,0.11,2.24,Ovis_aries,8800,91,1179
M9,210,16.93,1.7,9.31,Ovis_aries,8800,91,1179
M25,35,1.45,2.37,1.91,Ovis_aries,8800,91,1179
M19,74,6.77,-1.13,2.82,Ovis_aries,8800,91,1179
M11,162,10.64,3.78,7.21,Ovis_aries,8800,91,1179
M10,183,53.04,1.86,27.45,Ovis_aries,8800,91,1179
M24,28,2.28,2.75,2.51,Ovis_aries,8800,91,1179
M5,168,12.62,0.69,6.66,Ovis_aries,8800,91,1179
M15,104,23.17,0.95,12.06,Ovis_aries,8800,91,1179
M26,13,15.33,-1.0,7.16,Ovis_aries,8800,91,1179
M2,543,35.49,0.6,18.04,Ovis_aries,8800,91,1179
M4,304,1.81,-2.81,-0.5,Ovis_aries,8800,91,1179
M8,230,36.91,4.6,20.76,Ovis_aries,8800,91,1179
M3,309,51.24,-4.19,23.53,Ovis_aries,8800,91,1179
M17,80,16.7,1.73,9.21,Ovis_aries,8800,91,1179
M20,47,9.05,-0.4,4.33,Ovis_aries,8800,91,1179
M16,112,22.55,0.17,11.36,Ovis_aries,8800,91,1179
M7,240,35.1,-1.59,16.76,Ovis_aries,8800,91,1179
M27,8,3.17,-0.76,1.21,Ovis_aries,8800,91,1179
