module,n_full,n_tf,pres_full,pres_tf,tf_minus_full,top_tissue,mean_Zsummary,blomberg_K,K_pvalue
M1,368,52,0.3971658662493838,0.3117194323192487,-0.08544643393013512,BLOOD_VESSEL,5.34,0.139,0.38
M2,303,57,0.2913152666578032,0.2655242123003962,-0.02579105435740703,OVARY,21.47,0.209,0.11
M3,192,22,0.2113274630038912,0.36454111662018374,0.15321365361629252,PITUITARY,14.98,0.468,0.002
M4,214,5,0.21470713468390903,0.7101359557515186,0.49542882106760955,TESTIS,14.67,0.055,0.947
M5,166,15,0.1750916631748262,0.43248838348880475,0.25739672031397853,OVARY,5.96,0.257,0.041
M6,262,14,0.36013047281307925,0.545495514767018,0.18536504195393871,SALIVARY_GLAND,4.07,0.181,0.21
M7,249,6,0.20924816175394972,0.4688833154090632,0.25963515365511347,TESTIS,15.09,0.068,0.895
M8,240,12,0.6202290772221811,0.5251427931446893,-0.09508628407749187,TESTIS,22.59,0.073,0.872
M9,244,4,0.26188246549204985,,,BRAIN,24.87,0.115,0.618
M10,168,12,0.3506409239820142,0.46917836051802925,0.11853743653601506,SPLEEN,17.01,0.198,0.275
M11,183,12,0.3175433822192212,0.14854796678013382,-0.16899541543908736,ADIPOSE_TISSUE,3.06,0.289,0.041
M12,183,14,0.28725851672287755,0.3870215174921098,0.09976300076923222,MUSCLE,3.42,0.148,0.344
M13,103,4,0.2475586744736493,,,LIVER,11.06,0.122,0.504
M14,44,4,0.2721788587723186,,,SPLEEN,0.87,0.398,0.004
M15,112,8,0.27459228650906164,0.5138140319096067,0.23922174540054508,BLOOD,6.68,0.165,0.356
M16,125,1,0.1862662667870911,,,PITUITARY,7.91,0.199,0.151
M17,99,1,0.3930905210474682,,,MUSCLE,5.31,0.123,0.489
M18,81,0,0.5776905475845744,,,MUSCLE,17.34,0.133,0.471
M19,89,3,0.18173031075181947,,,BRAIN,12.34,0.153,0.283
M20,46,2,0.20013092441824032,,,TESTIS,2.52,0.338,0.007
M21,57,5,0.5286840177676861,0.9424043381037412,0.4137203203360551,LIVER,3.15,0.154,0.311
M22,47,6,0.30861677045969604,0.08656693873203797,-0.22204983172765808,VAGINA,4.25,0.066,0.83
M23,27,2,0.36362056326341463,,,PANCREAS,-0.85,0.16,0.326
M24,31,28,0.6803365572916522,0.6827274416734543,0.0023908843818021275,UTERUS,5.49,0.299,0.064
M25,40,4,0.31927080831718574,,,ADIPOSE_TISSUE,0.18,0.098,0.711
M26,10,0,0.739932456166288,,,BRAIN,12.63,0.263,0.152
M27,10,0,0.13261876123506097,,,LUNG,0.96,0.099,0.677
