human,mouse,lemur
ENSG00000000003,ENSMUSG00000067377,ENSMICG00000011370
ENSG00000000005,ENSMUSG00000031250,ENSMICG00000011361
ENSG00000000419,ENSMUSG00000078919,ENSMICG00000003186
ENSG00000000457,ENSMUSG00000026584,ENSMICG00000012358
ENSG00000000460,ENSMUSG00000041406,ENSMICG00000012330
ENSG00000000938,ENSMUSG00000028874,ENSMICG00000006166
ENSG00000001036,ENSMUSG00000019810,ENSMICG00000026320
ENSG00000001084,ENSMUSG00000032350,ENSMICG00000003751
ENSG00000001167,ENSMUSG00000023994,ENSMICG00000009686
ENSG00000001460,ENSMUSG00000028801,ENSMICG00000000545
ENSG00000001461,ENSMUSG00000028803,ENSMICG00000034277
ENSG00000001497,ENSMUSG00000057421,ENSMICG00000010703
ENSG00000001561,ENSMUSG00000023961,ENSMICG00000031250
ENSG00000001617,ENSMUSG00000034684,ENSMICG00000016219
ENSG00000001626,ENSMUSG00000041301,ENSMICG00000046039
ENSG00000001629,ENSMUSG00000040351,ENSMICG00000015075
ENSG00000001630,ENSMUSG00000001467,ENSMICG00000002486
ENSG00000001631,ENSMUSG00000000600,ENSMICG00000032533
ENSG00000002330,ENSMUSG00000024959,ENSMICG00000028209
ENSG00000002549,ENSMUSG00000039682,ENSMICG00000006788
ENSG00000002587,ENSMUSG00000051022,ENSMICG00000008698
ENSG00000002726,ENSMUSG00000068536,ENSMICG00000030675
ENSG00000002745,ENSMUSG00000029671,ENSMICG00000013963
ENSG00000002746,ENSMUSG00000021301,ENSMICG00000001053
ENSG00000002822,ENSMUSG00000029554,ENSMICG00000009997
ENSG00000002834,ENSMUSG00000038366,ENSMICG00000031791
ENSG00000002919,ENSMUSG00000020876,ENSMICG00000014741
ENSG00000002933,ENSMUSG00000023367,ENSMICG00000008154
ENSG00000003056,ENSMUSG00000007458,ENSMICG00000014416
ENSG00000003096,ENSMUSG00000036782,ENSMICG00000035307
ENSG00000003137,ENSMUSG00000063415,ENSMICG00000016464
ENSG00000003147,ENSMUSG00000062995,ENSMICG00000017517
ENSG00000003249,ENSMUSG00000031970,ENSMICG00000028045
ENSG00000003393,ENSMUSG00000026024,ENSMICG00000013399
ENSG00000003402,ENSMUSG00000026031,ENSMICG00000004452
ENSG00000003436,ENSMUSG00000027082,ENSMICG00000031560
ENSG00000003509,ENSMUSG00000024082,ENSMICG00000003335
